部门id,部门,辅助分类,品种编号,品种名称,日期,台号,单价,销售量,赠送数量,取消数量,销售金额,赠送金额,取消金额,金额百分比,成本
2,中厨,其他,110313511,鱼香茄子煲,2014_09_26,123,33,1,0,0,32,0,0,0.0973,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_30,272,33,2,0,0,64,0,0,0.2314,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_13,216,33,1,0,0,32,0,0,0.0774,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_07,263,33,1,0,0,32,0,0,0.054,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_04,256,33,1,0,0,32,0,0,0.0811,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_04,233,33,1,0,0,32,0,0,0.0811,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_14,265,33,1,0,0,32,0,0,0.0296,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_14,V11,33,1,0,0,32,0,0,0.0296,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_07,212,33,1,0,0,32,0,0,0.054,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_03,258,33,1,0,0,32,0,0,0.0794,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_15,268,33,1,0,0,32,0,0,0.0758,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_18,V9,33,1,0,0,32,0,0,0.054,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_03,226,33,1,0,0,32,0,0,0.0794,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_29,281,33,1,0,0,32,0,0,0.1173,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_05,216,33,1,0,0,32,0,0,0.0767,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_28,272,33,2,0,0,64,0,0,0.2314,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_29,225,33,1,0,0,32,0,0,0.1173,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_25,V6,33,1,0,0,32,0,0,0.0911,14.85
2,中厨,其他,110313511,鱼香茄子煲,2014_09_09,V8,33,1,0,0,32,0,0,0.0823,14.85
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加8,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,281,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,236,38,2,0,0,2,0,0,0.0049,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,272,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,262,38,1,0,0,1,0,0,0.0027,18.24
2,中厨,其他,110313445,温公粗斋,2014_09_01,V7,38,1,0,0,38,0,0,0.0984,20.52
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,236,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,231,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,273,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,226,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,236,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,232,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,258,38,3,0,0,3,0,0,0.0081,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,205,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,223,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加1,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加6,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,256,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,加6,38,1,0,0,1,0,0,0.0024,18.24
3,汤水,其他,110313920,五叶神炖鳝汤,2014_09_01,V7,68,1,0,0,102,0,0,0.2642,38.76
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,226,38,2,0,0,2,0,0,0.006,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,212,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,256,38,2,0,0,2,0,0,0.006,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,255,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,293,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,223,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,215,38,2,0,0,2,0,0,0.0049,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加5,38,3,0,0,3,0,0,0.0077,18.24
2,中厨,其他,110313454,乡下腐竹水东芥,2014_09_01,V7,32,1,0,0,32,0,0,0.0829,14.72
9,海鲜,其他,110312256,夜游鹤/只,2014_09_01,V7,188,2,0,0,376,0,0,0.9739,95.88
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,加6,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,201,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,加8,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,212,38,3,0,0,3,0,0,0.0087,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,292,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,202,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,256,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,231,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,285,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,231,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313490,炸花生,2014_09_01,V7,10,1,0,0,10,0,0,0.0259,5.9
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,225,38,2,0,0,2,0,0,0.006,18.24
4,味部,其他,110313489,东北黑木耳,2014_09_01,V8,8,1,0,0,8,0,0,0.0207,2.96
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,202,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,285,38,1,0,0,1,0,0,0.0024,18.24
9,海鲜,其他,110311857,多宝鱼/斤,2014_09_01,V8,77.86,1.6,0,0,92.8,0,0,0.2404,42.04
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加9,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,加9,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,262,38,1,0,0,1,0,0,0.0026,18.24
13,房间茶位,其他,110313730,房间茶位,2014_09_01,V8,5,12,0,0,60,0,0,0.1554,2.7
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,261,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,291,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加2,38,1,0,0,1,0,0,0.0026,18.24
2,中厨,其他,110313544,芥兰,2014_09_01,V8,28,1,0,0,28,0,0,0.0725,11.76
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,292,38,1,0,0,1,0,0,0.0026,18.24
6,点心,其他,110313467,金味麦香包,2014_09_01,V8,36,1,0,0,18,0,0,0.0466,10.8
6,点心,其他,110313467,金味麦香包,2014_09_01,V8,36,1,0,0,0,0,0,0,10.8
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,255,38,1,0,0,1,0,0,0.0029,18.24
2,中厨,其他,110313399,乐膳一品煲,2014_09_01,V8,88,1,0,0,88,0,0,0.2279,35.2
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,266,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,271,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,288,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,258,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,293,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,225,38,3,0,0,3,0,0,0.0081,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,加3,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,201,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,271,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,213,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,286,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,222,38,1,0,0,1,0,0,0.003,18.24
2,中厨,其他,110313612,凉瓜黄豆排骨锅底,2014_09_01,V8,48,1,0,0,48,0,0,0.1243,25.44
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,加3,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,265,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,226,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,232,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,221,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,加1,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,281,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,272,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,235,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,231,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,233,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,256,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,292,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,201,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,291,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,223,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,205,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,205,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,281,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,273,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,211,38,1,0,0,1,0,0,0.0026,18.24
9,海鲜,其他,110312259,乳鸽皇/只,2014_09_01,V8,488,1,0,0,488,0,0,1.264,146.4
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,215,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,283,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,281,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,211,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,加8,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,加2,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,233,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,213,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,加2,38,1,0,0,1,0,0,0.0027,18.24
