部门id,部门,辅助分类,品种编号,品种名称,日期,台号,单价,销售量,赠送数量,取消数量,销售金额,赠送金额,取消金额,金额百分比,成本
9,海鲜,其他,110313590,5斤左右阿拉斯加蟹,2014_09_18,V15,488,0,0,-1,0,0,-488,0,278.16
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_20,V1,19.8,8,0,0,158.4,0,0,0.3833,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V11,19.8,7,0,0,89.6,0,0,0.227,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_05,V11,19.8,8,0,0,102.4,0,0,0.2454,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_26,V8,19.8,6,0,0,76.8,0,0,0.2336,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_22,V10,19.8,0,0,-7,0,0,-138.6,0,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V15,19.8,4,0,0,51.2,0,0,0.1297,10.69
6,点心,其他,110313775,百合酱蒸凤爪,2014_09_01,101,17,1,0,0,16,0,0,0.0414,6.8
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_19,V3,19.8,9,0,0,178.2,0,0,0.4223,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_26,V6,19.8,1,0,0,12.8,0,0,0.0389,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,V5,19.8,4,0,0,51.2,0,0,0.127,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_12,215,19.8,6,0,0,76.8,0,0,0.1879,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_21,V9,19.8,8,0,0,102.4,0,0,0.1391,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,V12,19.8,6,0,0,76.8,0,0,0.1906,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_29,285,19.8,6,0,0,118.8,0,0,0.4356,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,223,19.8,5,0,0,64,0,0,0.1588,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V2,19.8,13,0,0,166.4,0,0,0.4216,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_18,V15,19.8,6,0,0,76.8,0,0,0.1295,10.69
2,点心,其他,110313795,菜心粒咸骨粥,2014_09_01,101,38,1,0,0,14,0,0,0.0363,21.28
2,中厨,中厨,110309373,白贝正水旦,2014_09_10,205,38,1,0,0,38,0,0,0.1337,20.14
2,中厨,其他,110313562,白菜苗,2014_09_04,231,28,0,0,-1,0,0,-28,0,15.12
5,楼面,其他,110312065,陈年普洱,2014_09_01,101,6,6,0,0,36,0,0,0.0932,3.48
2,中厨,其他,110313562,白菜苗,2014_09_23,273,28,1,0,0,28,0,0,0.0685,15.12
2,中厨,其他,110313562,白菜苗,2014_09_11,V3,28,1,0,0,28,0,0,0.0834,15.12
2,中厨,其他,110313562,白菜苗,2014_09_12,202,28,1,0,0,28,0,0,0.0685,15.12
9,海鲜,其他,110312518,白侧/斤,2014_09_15,226,28,1.2,0,0,33.6,0,0,0.0796,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_25,123,28,1.1,0,0,30.8,0,0,0.0877,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_13,265,28,1.1,0,0,30.8,0,0,0.0745,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_20,285,28,1.1,0,0,30.8,0,0,0.0745,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_02,232,28,1,0,0,28,0,0,0.0814,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_03,V3,28,1,0,0,28,0,0,0.0695,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_29,V3,28,1.2,0,0,33.6,0,0,0.1232,11.48
9,海鲜,其他,110312518,白侧/斤,2014_09_08,223,28,1,0,0,28,0,0,0.0755,11.48
96,味部,其他,110313475,白切莲藕,2014_09_09,222,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V1,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V5,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,286,28,1,0,0,28,0,0,0.0685,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V1,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,262,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_06,105,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V8,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V9,28,1,0,0,28,0,0,0.0685,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,263,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_15,272,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,288,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,262,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,101,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,211,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,122,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,261,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V7,28,1,0,0,28,0,0,0.038,15.76
2,点心,其他,110313839,豉油皇炒面,2014_09_01,101,48,1,0,0,11,0,0,0.0285,19.68
96,味部,其他,110313475,白切莲藕,2014_09_14,226,28,1,0,0,28,0,0,0.0259,15.76
96,味部,其他,110313475,白切莲藕,2014_09_25,286,28,1,0,0,32,0,0,0.0911,15.76
6,点心,其他,110313783,翡翠蒸香茜饺,2014_09_01,101,15,2,0,0,28,0,0,0.0725,4.95
96,味部,其他,110313475,白切莲藕,2014_09_15,222,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,215,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_12,261,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_17,203,28,1,0,0,32,0,0,0.1222,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,261,28,2,0,0,56,0,0,0.0945,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V9,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,293,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,272,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,263,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V10,28,2,0,0,64,0,0,0.0869,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,291,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,232,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V7,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,V8,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,V10,28,4,0,0,128,0,0,0.3811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V1,28,1,0,0,32,0,0,0.0296,15.76
96,味部,其他,110313475,白切莲藕,2014_09_22,V7,28,1,0,0,48,0,0,0.1262,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V2,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,285,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,V12,28,1,0,0,32,0,0,0.117,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V11,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,256,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,265,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_10,V7,28,1,0,0,42,0,0,0.1478,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V8,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,292,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,266,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_22,V12,28,1,0,0,32,0,0,0.0842,15.76
96,味部,其他,110313475,白切莲藕,2014_09_22,加9,28,1,0,0,32,0,0,0.0842,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V7,28,2,0,0,84,0,0,0.1417,15.76
96,味部,其他,110313475,白切莲藕,2014_09_30,V8,28,1,0,0,28,0,0,0.1012,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,262,28,1,0,0,28,0,0,0.1024,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,281,28,1,0,0,28,0,0,0.1024,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,台1,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,211,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V3,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,292,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,212,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,272,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,286,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,286,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,261,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,加8,28,1,0,0,28,0,0,0.038,15.76
96,味部,其他,110313475,白切莲藕,2014_09_02,231,28,1,0,0,28,0,0,0.0814,15.76
96,味部,其他,110313475,白切莲藕,2014_09_15,231,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_02,222,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_30,V5,28,1,0,0,32,0,0,0.1157,15.76
96,味部,其他,110313475,白切莲藕,2014_09_25,V7,28,1,0,0,32,0,0,0.0911,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V6,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V11,28,1,0,0,32,0,0,0.0931,15.76
6,点心,其他,110313785,健康麦香包,2014_09_01,101,36,1,0,0,11,0,0,0.0285,17.28
96,味部,其他,110313475,白切莲藕,2014_09_09,282,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_26,223,28,1,0,0,32,0,0,0.0973,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,212,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_22,V15,28,1,0,0,28,0,0,0.0736,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,291,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_22,V10,28,1,0,0,32,0,0,0.0842,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,255,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,V6,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,V10,28,2,0,0,64,0,0,0.2341,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,V12,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,V2,28,1,0,0,48,0,0,0.1138,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V5,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V10,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V6,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V15,28,1,0,0,32,0,0,0.0296,15.76
96,味部,其他,110313475,白切莲藕,2014_09_15,271,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,292,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,231,28,3,0,0,84,0,0,0.3072,15.76
96,味部,其他,110313475,白切莲藕,2014_09_28,V8,28,1,0,0,28,0,0,0.1012,15.76
96,味部,其他,110313475,白切莲藕,2014_09_06,201,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,V6,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_30,255,28,1,0,0,32,0,0,0.1157,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,V6,28,1,0,0,28,0,0,0.1024,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,231,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V12,28,1,0,0,32,0,0,0.0296,15.76
96,味部,其他,110313475,白切莲藕,2014_09_30,V7,28,1,0,0,48,0,0,0.1736,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V10,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_10,256,28,1,0,0,32,0,0,0.1126,15.76
96,味部,其他,110313475,白切莲藕,2014_09_10,231,28,1,0,0,32,0,0,0.1126,15.76
95,点心,其他,110313788,金丝燕麦包,2014_09_01,101,20,1,0,0,14,0,0,0.0363,9.8
96,味部,其他,110313475,白切莲藕,2014_09_08,273,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,213,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V2,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_12,215,28,2,0,0,64,0,0,0.1565,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,216,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,270,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,233,28,1,0,0,32,0,0,0.117,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V2,28,1,0,0,28,0,0,0.0671,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,加1,28,0,0,-1,0,0,-28,0,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V12,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_29,V6,28,1,0,0,28,0,0,0.1027,15.76
96,味部,其他,110313475,白切莲藕,2014_09_26,V13,28,2,0,0,64,0,0,0.1946,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,281,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,272,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,231,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,213,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,223,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V8,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,293,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V10,28,2,0,0,56,0,0,0.151,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V6,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V2,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V6,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V15,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,281,28,1,0,0,28,0,0,0.038,15.76
96,味部,其他,110313475,白切莲藕,2014_09_10,216,28,0,0,-1,0,0,-28,0,15.76
96,味部,其他,110313475,白切莲藕,2014_09_29,V12,28,1,0,0,32,0,0,0.1173,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V11,28,2,0,0,56,0,0,0.0517,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,215,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,231,28,2,0,0,64,0,0,0.108,15.76
96,味部,其他,110313475,白切莲藕,2014_09_15,261,28,1,0,0,32,0,0,0.0758,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V12,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,V15,28,1,0,0,32,0,0,0.117,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,212,28,1,0,0,32,0,0,0.0774,15.76
95,点心,其他,110313773,排骨拼凤爪,2014_09_01,101,19,1,0,0,16,0,0,0.0414,5.89
96,味部,其他,110313475,白切莲藕,2014_09_07,272,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,281,28,0,0,-1,0,0,-28,0,15.76
96,味部,其他,110313475,白切莲藕,2014_09_06,101,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_29,V6,28,1,0,0,32,0,0,0.1173,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V10,28,3,0,0,84,0,0,0.0776,15.76
96,味部,其他,110313475,白切莲藕,2014_09_26,258,28,1,0,0,32,0,0,0.0973,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,261,28,1,0,0,28,0,0,0.0259,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,293,28,1,0,0,28,0,0,0.072,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V1,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V10,28,2,0,0,64,0,0,0.1549,15.76
2,点心,其他,110313842,三丝炒河粉,2014_09_01,101,28,1,0,0,11,0,0,0.0285,9.24
96,味部,其他,110313475,白切莲藕,2014_09_18,V11,28,2,0,0,64,0,0,0.108,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,288,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V2,28,1,0,0,28,0,0,0.0755,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V15,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,283,28,2,0,0,64,0,0,0.0869,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V2,28,1,0,0,32,0,0,0.0811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,258,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,255,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V6,28,1,0,0,32,0,0,0.0811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V1,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,加9,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,263,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,273,28,1,0,0,32,0,0,0.0296,15.76
96,味部,其他,110313475,白切莲藕,2014_09_28,V5,28,1,0,0,32,0,0,0.1157,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,292,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V9,28,1,0,0,32,0,0,0.0767,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V12,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,V13,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_05,V11,28,2,0,0,64,0,0,0.1534,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,V2,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,V15,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,273,28,1,0,0,28,0,0,0.038,15.76
96,味部,其他,110313475,白切莲藕,2014_09_28,V7,28,1,0,0,48,0,0,0.1736,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V2,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V7,28,1,0,0,28,0,0,0.0814,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V8,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,V3,28,1,0,0,32,0,0,0.117,15.76
96,味部,其他,110313475,白切莲藕,2014_09_14,V2,28,2,0,0,56,0,0,0.0517,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,233,28,1,0,0,28,0,0,0.0677,15.76
96,味部,其他,110313475,白切莲藕,2014_09_03,V9,28,2,0,0,64,0,0,0.1588,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,232,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_28,255,28,1,0,0,32,0,0,0.1157,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V10,28,2,0,0,64,0,0,0.1622,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,233,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_16,226,28,1,0,0,32,0,0,0.117,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V6,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_29,256,28,1,0,0,32,0,0,0.1173,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,293,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,293,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,263,28,1,0,0,32,0,0,0.0783,15.76
6,点心,其他,110313796,窝蛋牛肉粥,2014_09_01,101,17,1,0,0,16,0,0,0.0414,9.86
96,味部,其他,110313475,白切莲藕,2014_09_07,265,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V5,28,2,0,0,64,0,0,0.108,15.76
96,味部,其他,110313475,白切莲藕,2014_09_03,271,28,1,0,0,32,0,0,0.0794,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,V5,28,2,0,0,64,0,0,0.1647,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,283,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_03,216,28,1,0,0,32,0,0,0.0794,15.76
96,味部,其他,110313475,白切莲藕,2014_09_17,232,28,1,0,0,32,0,0,0.1222,15.76
5,楼面,其他,110312071,香醇铁观音,2014_09_01,101,6,2,0,0,12,0,0,0.0311,2.1
96,味部,其他,110313475,白切莲藕,2014_09_07,215,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_17,V2,28,1,0,0,32,0,0,0.1222,15.76
96,味部,其他,110313475,白切莲藕,2014_09_06,261,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_24,V5,28,1,0,0,32,0,0,0.0931,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,265,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,262,28,1,0,0,28,0,0,0.0677,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V15,28,1,0,0,28,0,0,0.0685,15.76
96,味部,其他,110313475,白切莲藕,2014_09_27,212,28,1,0,0,32,0,0,0.0842,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,292,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_08,281,28,1,0,0,32,0,0,0.0863,15.76
96,味部,其他,110313475,白切莲藕,2014_09_09,V12,28,1,0,0,32,0,0,0.0823,15.76
96,味部,其他,110313475,白切莲藕,2014_09_03,V12,28,1,0,0,32,0,0,0.0794,15.76
6,点心,其他,110313819,香煎葱油饼,2014_09_01,101,9,1,0,0,9,0,0,0.0233,3.87
96,味部,其他,110313475,白切莲藕,2014_09_15,236,28,1,0,0,28,0,0,0.0664,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V9,28,1,0,0,32,0,0,0.0811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_12,216,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_23,V15,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_19,V7,28,2,0,0,56,0,0,0.1327,15.76
96,味部,其他,110313475,白切莲藕,2014_09_17,216,28,1,0,0,28,0,0,0.107,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,V13,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_18,286,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_12,235,28,1,0,0,32,0,0,0.0783,15.76
96,味部,其他,110313475,白切莲藕,2014_09_13,225,28,1,0,0,32,0,0,0.0774,15.76
96,味部,其他,110313475,白切莲藕,2014_09_11,281,28,1,0,0,32,0,0,0.0953,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,222,28,1,0,0,32,0,0,0.054,15.76
96,味部,其他,110313475,白切莲藕,2014_09_20,V8,28,1,0,0,28,0,0,0.0677,15.76
96,味部,其他,110313475,白切莲藕,2014_09_07,222,28,1,0,0,28,0,0,0.0472,15.76
96,味部,其他,110313475,白切莲藕,2014_09_15,216,28,1,0,0,28,0,0,0.0664,15.76
96,味部,其他,110313475,白切莲藕,2014_09_03,V15,28,2,0,0,64,0,0,0.1588,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V5,28,1,0,0,32,0,0,0.0811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V3,28,1,0,0,28,0,0,0.038,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,V12,28,1,0,0,32,0,0,0.0811,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,283,28,0,0,-1,0,0,-28,0,15.76
96,味部,其他,110313475,白切莲藕,2014_09_21,V13,28,1,0,0,32,0,0,0.0435,15.76
96,味部,其他,110313475,白切莲藕,2014_09_04,223,28,1,0,0,32,0,0,0.0811,15.76
